neighbourhood_group,room_type,average_price,median_price,count,average_minimum_nights,average_availability,occupancy_rate,total_reviews,unique_hosts
Manhattan,Entire home/apt,268.22,200.0,8441,13.58,183.17,49.82,200817,5964
Manhattan,Private room,127.97,94.0,4782,6.35,170.0,53.43,182682,3354
Manhattan,Shared room,84.52,69.0,336,7.86,197.96,45.76,8768,208
Queens,Entire home/apt,155.34,125.0,1550,5.77,178.86,51.0,56551,1321
Queens,Private room,69.04,60.0,2586,5.02,194.58,46.69,84729,1562
Brooklyn,Private room,80.7,65.0,5880,6.47,172.17,52.83,181852,3983
Brooklyn,Entire home/apt,187.71,150.0,6072,7.36,153.03,58.07,238759,5283
Queens,Shared room,65.42,37.0,162,3.66,234.9,35.65,2603,93
Brooklyn,Shared room,46.97,35.0,308,8.53,238.69,34.61,4746,148
Bronx,Entire home/apt,131.68,100.0,318,6.3,188.31,48.41,11209,266
Bronx,Shared room,61.2,34.5,50,3.8,185.06,49.3,396,34
Bronx,Private room,66.7,55.0,546,4.12,204.59,43.95,14977,369
Staten Island,Entire home/apt,176.78,100.0,152,6.08,206.19,43.51,5545,133
Staten Island,Private room,61.07,52.0,171,3.87,248.87,31.82,5307,99
Staten Island,Shared room,62.12,52.5,8,2.12,72.88,80.03,13,5
